base_image,expected_species_id,mode,perturbation,family,raw_top1_label,raw_top1_score,raw_top2_label,raw_top2_score,margin,mapped_top1_kb_id,mapped_top3_kb_ids,in_vocab,route,confident_wrong,latency_ms,failure
alocasia__01,alocasia,grid2x2_3x3,rotate_-15,rotate,Elephant Ear (Alocasia spp.),0.5719,Pothos (Ivy arum),0.1270,0.4449,alocasia,"alocasia|epipremnum-aureum|anthurium-andraeanum",true,high-conf,false,491,
alocasia__01,alocasia,tta6,rotate_+90,rotate,Elephant Ear (Alocasia spp.),0.8232,Birds Nest Fern (Asplenium nidus),0.0980,0.7252,alocasia,"alocasia|asplenium-nidus|dieffenbachia",true,high-conf,false,226,
alocasia__01,alocasia,grid2x2,rotate_+90,rotate,Elephant Ear (Alocasia spp.),0.8816,Birds Nest Fern (Asplenium nidus),0.0590,0.8227,alocasia,"alocasia|asplenium-nidus|dieffenbachia",true,high-conf,false,239,
alocasia__01,alocasia,grid2x2_3x3,rotate_+90,rotate,Elephant Ear (Alocasia spp.),0.7963,Chinese evergreen (Aglaonema),0.0731,0.7232,alocasia,"alocasia|aglaonema|asplenium-nidus",true,high-conf,false,329,
alocasia__01,alocasia,tta6,rotate_-90,rotate,Elephant Ear (Alocasia spp.),0.8500,Dumb Cane (Dieffenbachia spp.),0.1362,0.7138,alocasia,"alocasia|dieffenbachia|asplenium-nidus",true,high-conf,false,171,
alocasia__01,alocasia,grid2x2,rotate_-90,rotate,Elephant Ear (Alocasia spp.),0.8392,Dumb Cane (Dieffenbachia spp.),0.0838,0.7554,alocasia,"alocasia|dieffenbachia|anthurium-andraeanum",true,high-conf,false,268,
alocasia__01,alocasia,grid2x2_3x3,rotate_-90,rotate,Elephant Ear (Alocasia spp.),0.8307,Peace lily,0.0526,0.7781,alocasia,"alocasia|spathiphyllum-wallisii|dieffenbachia",true,high-conf,false,450,
alocasia__01,alocasia,tta6,bright_up,brightness,Elephant Ear (Alocasia spp.),0.9110,Peace lily,0.0562,0.8548,alocasia,"alocasia|spathiphyllum-wallisii|anthurium-andraeanum",true,high-conf,false,142,
alocasia__01,alocasia,grid2x2,bright_up,brightness,Elephant Ear (Alocasia spp.),0.7349,Peace lily,0.1150,0.6198,alocasia,"alocasia|spathiphyllum-wallisii|ctenanthe",true,high-conf,false,156,
alocasia__01,alocasia,grid2x2_3x3,bright_up,brightness,Elephant Ear (Alocasia spp.),0.5717,Peace lily,0.2055,0.3662,alocasia,"alocasia|spathiphyllum-wallisii|monstera-deliciosa",true,high-conf,false,367,
alocasia__01,alocasia,tta6,bright_down,brightness,Elephant Ear (Alocasia spp.),0.8929,Pothos (Ivy arum),0.0504,0.8424,alocasia,"alocasia|epipremnum-aureum|anthurium-andraeanum",true,high-conf,false,160,
alocasia__01,alocasia,grid2x2,bright_down,brightness,Elephant Ear (Alocasia spp.),0.7483,Ctenanthe,0.0965,0.6519,alocasia,"alocasia|ctenanthe|spathiphyllum-wallisii",true,high-conf,false,184,
alocasia__01,alocasia,grid2x2_3x3,bright_down,brightness,Elephant Ear (Alocasia spp.),0.5983,Peace lily,0.2229,0.3753,alocasia,"alocasia|spathiphyllum-wallisii|ctenanthe",true,high-conf,false,331,
alocasia__01,alocasia,tta6,contrast_up,contrast,Elephant Ear (Alocasia spp.),0.7863,Dumb Cane (Dieffenbachia spp.),0.1052,0.6810,alocasia,"alocasia|dieffenbachia|spathiphyllum-wallisii",true,high-conf,false,188,
alocasia__01,alocasia,grid2x2,contrast_up,contrast,Elephant Ear (Alocasia spp.),0.6751,Peace lily,0.1426,0.5325,alocasia,"alocasia|spathiphyllum-wallisii|dieffenbachia",true,high-conf,false,319,
alocasia__01,alocasia,grid2x2_3x3,contrast_up,contrast,Elephant Ear (Alocasia spp.),0.6315,Peace lily,0.1875,0.4440,alocasia,"alocasia|spathiphyllum-wallisii|aglaonema",true,high-conf,false,555,
alocasia__01,alocasia,tta6,contrast_down,contrast,Elephant Ear (Alocasia spp.),0.5449,Anthurium (Anthurium andraeanum),0.2393,0.3056,alocasia,"alocasia|anthurium-andraeanum|epipremnum-aureum",true,high-conf,false,118,
alocasia__01,alocasia,grid2x2,contrast_down,contrast,Elephant Ear (Alocasia spp.),0.4665,Anthurium (Anthurium andraeanum),0.1441,0.3224,alocasia,"alocasia|anthurium-andraeanum|epipremnum-aureum",true,high-conf,false,206,
alocasia__01,alocasia,grid2x2_3x3,contrast_down,contrast,Elephant Ear (Alocasia spp.),0.3722,Peace lily,0.1509,0.2213,alocasia,"alocasia|spathiphyllum-wallisii|epipremnum-aureum",true,low-conf,false,459,
aloe-vera__01,aloe-vera,tta6,clean,clean,Aloe Vera,0.9993,Cast Iron Plant (Aspidistra elatior),0.0006,0.9987,aloe-vera,"aloe-vera|aspidistra-elatior|dracaena-trifasciata",true,high-conf,false,115,
aloe-vera__01,aloe-vera,grid2x2,clean,clean,Aloe Vera,0.8869,Calathea,0.0712,0.8156,aloe-vera,"aloe-vera|goeppertia-orbifolia|dieffenbachia",true,high-conf,false,169,
aloe-vera__01,aloe-vera,grid2x2_3x3,clean,clean,Aloe Vera,0.5804,Chinese Money Plant (Pilea peperomioides),0.0867,0.4937,aloe-vera,"aloe-vera|pilea-peperomioides|spathiphyllum-wallisii",true,high-conf,false,324,
aloe-vera__01,aloe-vera,tta6,blur,blur,Aloe Vera,0.9881,Snake plant (Sanseviera),0.0063,0.9818,aloe-vera,"aloe-vera|dracaena-trifasciata|aspidistra-elatior",true,high-conf,false,100,
aloe-vera__01,aloe-vera,grid2x2,blur,blur,Aloe Vera,0.9905,Snake plant (Sanseviera),0.0049,0.9855,aloe-vera,"aloe-vera|dracaena-trifasciata|aspidistra-elatior",true,high-conf,false,193,
aloe-vera__01,aloe-vera,grid2x2_3x3,blur,blur,Aloe Vera,0.6807,Asparagus Fern (Asparagus setaceus),0.1248,0.5559,aloe-vera,"aloe-vera|asparagus-setaceus|pilea-peperomioides",true,high-conf,false,309,
aloe-vera__01,aloe-vera,tta6,crop_center_zoom,crop,Aloe Vera,0.9997,Snake plant (Sanseviera),0.0003,0.9994,aloe-vera,"aloe-vera|dracaena-trifasciata|aspidistra-elatior",true,high-conf,false,97,
aloe-vera__01,aloe-vera,grid2x2,crop_center_zoom,crop,Aloe Vera,0.9733,Snake plant (Sanseviera),0.0251,0.9481,aloe-vera,"aloe-vera|dracaena-trifasciata|schlumbergera-bridgesii",true,high-conf,false,233,
aloe-vera__01,aloe-vera,grid2x2_3x3,crop_center_zoom,crop,Aloe Vera,0.7545,Snake plant (Sanseviera),0.0729,0.6816,aloe-vera,"aloe-vera|dracaena-trifasciata|asparagus-setaceus",true,high-conf,false,414,
aloe-vera__01,aloe-vera,tta6,crop_offcenter_zoom,crop,Aloe Vera,1.0000,Cast Iron Plant (Aspidistra elatior),0.0000,1.0000,aloe-vera,"aloe-vera|aspidistra-elatior|dracaena-trifasciata",true,high-conf,false,125,
aloe-vera__01,aloe-vera,grid2x2,crop_offcenter_zoom,crop,Aloe Vera,0.8939,Chinese Money Plant (Pilea peperomioides),0.0559,0.8380,aloe-vera,"aloe-vera|pilea-peperomioides|schefflera",true,high-conf,false,171,
aloe-vera__01,aloe-vera,grid2x2_3x3,crop_offcenter_zoom,crop,Aloe Vera,0.6385,Snake plant (Sanseviera),0.1470,0.4916,aloe-vera,"aloe-vera|dracaena-trifasciata|schefflera",true,high-conf,false,308,
aloe-vera__01,aloe-vera,tta6,rotate_+15,rotate,Aloe Vera,0.9858,Snake plant (Sanseviera),0.0136,0.9722,aloe-vera,"aloe-vera|dracaena-trifasciata|aspidistra-elatior",true,high-conf,false,103,
aloe-vera__01,aloe-vera,grid2x2,rotate_+15,rotate,Aloe Vera,0.6593,Snake plant (Sanseviera),0.2416,0.4178,aloe-vera,"aloe-vera|dracaena-trifasciata|dieffenbachia",true,high-conf,false,149,
aloe-vera__01,aloe-vera,grid2x2_3x3,rotate_+15,rotate,Aloe Vera,0.5167,Snake plant (Sanseviera),0.3633,0.1534,aloe-vera,"aloe-vera|dracaena-trifasciata|crassula-ovata",true,low-conf,false,719,
aloe-vera__01,aloe-vera,tta6,rotate_-15,rotate,Aloe Vera,0.9934,Snake plant (Sanseviera),0.0024,0.9910,aloe-vera,"aloe-vera|dracaena-trifasciata|crassula-ovata",true,high-conf,false,271,
aloe-vera__01,aloe-vera,grid2x2,rotate_-15,rotate,Aloe Vera,0.8308,Peace lily,0.0953,0.7355,aloe-vera,"aloe-vera|spathiphyllum-wallisii|goeppertia-orbifolia",true,high-conf,false,178,
aloe-vera__01,aloe-vera,grid2x2_3x3,rotate_-15,rotate,Aloe Vera,0.5326,Snake plant (Sanseviera),0.2113,0.3213,aloe-vera,"aloe-vera|dracaena-trifasciata|spathiphyllum-wallisii",true,high-conf,false,377,
aloe-vera__01,aloe-vera,tta6,rotate_+90,rotate,Aloe Vera,0.8786,Jade plant (Crassula ovata),0.0941,0.7845,aloe-vera,"aloe-vera|crassula-ovata|monstera-deliciosa",true,high-conf,false,105,
aloe-vera__01,aloe-vera,grid2x2,rotate_+90,rotate,Aloe Vera,0.6506,Parlor Palm (Chamaedorea elegans),0.1085,0.5421,aloe-vera,"aloe-vera|chamaedorea-elegans|dieffenbachia",true,high-conf,false,202,
aloe-vera__01,aloe-vera,grid2x2_3x3,rotate_+90,rotate,Aloe Vera,0.4950,Dumb Cane (Dieffenbachia spp.),0.1054,0.3897,aloe-vera,"aloe-vera|dieffenbachia|chamaedorea-elegans",true,high-conf,false,330,
aloe-vera__01,aloe-vera,tta6,rotate_-90,rotate,Aloe Vera,0.9999,Jade plant (Crassula ovata),0.0001,0.9998,aloe-vera,"aloe-vera|crassula-ovata|asparagus-setaceus",true,high-conf,false,87,
aloe-vera__01,aloe-vera,grid2x2,rotate_-90,rotate,Aloe Vera,0.8567,Parlor Palm (Chamaedorea elegans),0.0901,0.7666,aloe-vera,"aloe-vera|chamaedorea-elegans|asparagus-setaceus",true,high-conf,false,150,
aloe-vera__01,aloe-vera,grid2x2_3x3,rotate_-90,rotate,Aloe Vera,0.5566,Snake plant (Sanseviera),0.1070,0.4495,aloe-vera,"aloe-vera|dracaena-trifasciata|crassula-ovata",true,high-conf,false,411,
aloe-vera__01,aloe-vera,tta6,bright_up,brightness,Aloe Vera,0.9999,Cast Iron Plant (Aspidistra elatior),0.0001,0.9998,aloe-vera,"aloe-vera|aspidistra-elatior|dracaena-trifasciata",true,high-conf,false,164,
aloe-vera__01,aloe-vera,grid2x2,bright_up,brightness,Aloe Vera,0.8997,Dumb Cane (Dieffenbachia spp.),0.0461,0.8536,aloe-vera,"aloe-vera|dieffenbachia|goeppertia-orbifolia",true,high-conf,false,181,
aloe-vera__01,aloe-vera,grid2x2_3x3,bright_up,brightness,Aloe Vera,0.5873,Chinese Money Plant (Pilea peperomioides),0.0830,0.5042,aloe-vera,"aloe-vera|pilea-peperomioides|dracaena-trifasciata",true,high-conf,false,349,
aloe-vera__01,aloe-vera,tta6,bright_down,brightness,Aloe Vera,0.9211,Cast Iron Plant (Aspidistra elatior),0.0729,0.8483,aloe-vera,"aloe-vera|aspidistra-elatior|dracaena-trifasciata",true,high-conf,false,119,
aloe-vera__01,aloe-vera,grid2x2,bright_down,brightness,Aloe Vera,0.9245,Cast Iron Plant (Aspidistra elatior),0.0446,0.8799,aloe-vera,"aloe-vera|aspidistra-elatior|dracaena-trifasciata",true,high-conf,false,201,
aloe-vera__01,aloe-vera,grid2x2_3x3,bright_down,brightness,Aloe Vera,0.6319,Asparagus Fern (Asparagus setaceus),0.0688,0.5631,aloe-vera,"aloe-vera|asparagus-setaceus|pilea-peperomioides",true,high-conf,false,439,
aloe-vera__01,aloe-vera,tta6,contrast_up,contrast,Aloe Vera,0.9631,Cast Iron Plant (Aspidistra elatior),0.0317,0.9314,aloe-vera,"aloe-vera|aspidistra-elatior|dracaena-trifasciata",true,high-conf,false,99,
aloe-vera__01,aloe-vera,grid2x2,contrast_up,contrast,Aloe Vera,0.8147,Dumb Cane (Dieffenbachia spp.),0.0996,0.7152,aloe-vera,"aloe-vera|dieffenbachia|dracaena-trifasciata",true,high-conf,false,188,
aloe-vera__01,aloe-vera,grid2x2_3x3,contrast_up,contrast,Aloe Vera,0.5853,Snake plant (Sanseviera),0.0784,0.5069,aloe-vera,"aloe-vera|dracaena-trifasciata|asparagus-setaceus",true,high-conf,false,360,
aloe-vera__01,aloe-vera,tta6,contrast_down,contrast,Aloe Vera,0.9961,Cast Iron Plant (Aspidistra elatior),0.0038,0.9922,aloe-vera,"aloe-vera|aspidistra-elatior|dracaena-trifasciata",true,high-conf,false,127,
aloe-vera__01,aloe-vera,grid2x2,contrast_down,contrast,Aloe Vera,0.8927,Calathea,0.0989,0.7938,aloe-vera,"aloe-vera|goeppertia-orbifolia|schlumbergera-bridgesii",true,high-conf,false,193,
aloe-vera__01,aloe-vera,grid2x2_3x3,contrast_down,contrast,Aloe Vera,0.6055,Asparagus Fern (Asparagus setaceus),0.0709,0.5346,aloe-vera,"aloe-vera|asparagus-setaceus|crassula-ovata",true,high-conf,false,328,
aloe-vera__02,aloe-vera,tta6,clean,clean,Chinese Money Plant (Pilea peperomioides),0.6085,Yucca,0.1622,0.4462,pilea-peperomioides,"pilea-peperomioides|yucca|pachira-aquatica",true,low-conf,false,104,
aloe-vera__02,aloe-vera,grid2x2,clean,clean,Chinese Money Plant (Pilea peperomioides),0.3658,Ponytail Palm (Beaucarnea recurvata),0.1980,0.1678,pilea-peperomioides,"pilea-peperomioides|beaucarnea-recurvata|aloe-vera",true,low-conf,false,249,
aloe-vera__02,aloe-vera,grid2x2_3x3,clean,clean,Yucca,0.2314,Chinese Money Plant (Pilea peperomioides),0.2117,0.0197,yucca,"yucca|pilea-peperomioides|beaucarnea-recurvata",true,low-conf,false,448,
aloe-vera__02,aloe-vera,tta6,blur,blur,Chinese Money Plant (Pilea peperomioides),0.8255,Yucca,0.0838,0.7417,pilea-peperomioides,"pilea-peperomioides|yucca|aloe-vera",true,low-conf,false,213,
aloe-vera__02,aloe-vera,grid2x2,blur,blur,Chinese Money Plant (Pilea peperomioides),0.6234,Asparagus Fern (Asparagus setaceus),0.1667,0.4567,pilea-peperomioides,"pilea-peperomioides|asparagus-setaceus|aloe-vera",true,low-conf,false,236,
aloe-vera__02,aloe-vera,grid2x2_3x3,blur,blur,Chinese Money Plant (Pilea peperomioides),0.3281,Asparagus Fern (Asparagus setaceus),0.2992,0.0289,pilea-peperomioides,"pilea-peperomioides|asparagus-setaceus|yucca",true,low-conf,false,346,
aloe-vera__02,aloe-vera,tta6,crop_center_zoom,crop,Ponytail Palm (Beaucarnea recurvata),0.4707,Yucca,0.4273,0.0434,beaucarnea-recurvata,"beaucarnea-recurvata|yucca|zamioculcas-zamiifolia",true,low-conf,false,177,
aloe-vera__02,aloe-vera,grid2x2,crop_center_zoom,crop,Ponytail Palm (Beaucarnea recurvata),0.4815,Yucca,0.3334,0.1481,beaucarnea-recurvata,"beaucarnea-recurvata|yucca|aloe-vera",true,low-conf,false,461,
aloe-vera__02,aloe-vera,grid2x2_3x3,crop_center_zoom,crop,Ponytail Palm (Beaucarnea recurvata),0.4090,Yucca,0.2290,0.1800,beaucarnea-recurvata,"beaucarnea-recurvata|yucca|aloe-vera",true,low-conf,false,507,
aloe-vera__02,aloe-vera,tta6,crop_offcenter_zoom,crop,Aloe Vera,0.9170,Yucca,0.0818,0.8352,aloe-vera,"aloe-vera|yucca|beaucarnea-recurvata",true,high-conf,false,146,
aloe-vera__02,aloe-vera,grid2x2,crop_offcenter_zoom,crop,Aloe Vera,0.7602,Yucca,0.0870,0.6731,aloe-vera,"aloe-vera|yucca|dracaena-trifasciata",true,high-conf,false,286,
aloe-vera__02,aloe-vera,grid2x2_3x3,crop_offcenter_zoom,crop,Aloe Vera,0.5052,Yucca,0.1388,0.3665,aloe-vera,"aloe-vera|yucca|ctenanthe",true,high-conf,false,457,
